adiaŭ,прошай
ankaŭ,также
ankoraŭ,ешо
anstataŭ,вместо
apenaŭ,едва
antaŭ,перед
apud,около
baldaŭ,скоро
cent,сто
ĉar,ибо
ĉirkaŭ,вокруг
dum,за!
for,прочь
ĝis,до
hieraŭ,вчера
hodiaŭ,севоднйа
ili,они
inter,меж
jam,уже
jen,вот
jes,да
ĵus,толко-што
kaj,и
kontraŭ,против
ke,штон
kun,с
kvankam,хота
kvazaŭ,бутто
laŭ,по
mem,сам
nek,нии
nur,толко
nun,тепер
oni,ону
plu,дале
por,дла
per,через
post,посл
preskaŭ,почти
preter,мимо
pro,из-за
plej,наиболе
pli,боле
sed,но
sur,на
tra,сквоз
tamen,однако
trans,за
tre,оченй
tro,слишком
tuj,сразу
l',т'
sub,под
ho,ох
proksime,ближни
aux,или
ekde,сот
pri,о
ili,они
ajn,ни
tial,поетому
ŝi,она
almenaŭ,хота-би
ktp,итд
super,над
krom,кром
ambaŭ,оба
malpli,ниболе
escepte,ислучене
okcident,запад
sud,под
orient,восток
centr,центр
al,к
si,са
ni,ми
ol,чем
ĉu,ли
da,от
de,от
do,ну
vi,ви
la,та
se,если
ne,не
nu,ну
li,он
mi,йа
eĉ,даже
el,из
en,в
ĉe,у
aŭ,или
ci,ти
ĉi,е
ĝi,оно
ja,же
je,jе
ia,какойто
